metric,value,step
/main_fitness,0.10000000149011612,0.0
/main_fitness,0.10000000149011612,2.0
/main_fitness,0.10000000149011612,4.0
/main_fitness,0.10000000149011612,6.0
/main_fitness,0.10000000149011612,8.0
/main_fitness,0.10000000149011612,10.0
/main_fitness,0.10000000149011612,12.0
/main_fitness,0.10000000149011612,14.0
/main_fitness,0.10000000149011612,16.0
/main_fitness,0.0,18.0
/main_fitness,0.10000000149011612,20.0
/main_fitness,0.10000000149011612,22.0
/main_fitness,0.10000000149011612,24.0
/main_fitness,0.10000000149011612,26.0
/main_fitness,0.10000000149011612,28.0
/main_fitness,0.10000000149011612,30.0
/main_fitness,0.10000000149011612,32.0
/main_fitness,0.10000000149011612,34.0
/main_fitness,0.10000000149011612,36.0
/main_fitness,0.10000000149011612,38.0
/main_fitness,0.10000000149011612,40.0
/main_fitness,0.10000000149011612,42.0
/main_fitness,0.10000000149011612,44.0
/main_fitness,0.10000000149011612,46.0
/main_fitness,0.10000000149011612,48.0
/main_fitness,0.10000000149011612,50.0
/main_fitness,0.10000000149011612,52.0
/main_fitness,0.10000000149011612,54.0
/main_fitness,0.10000000149011612,56.0
/main_fitness,0.0,58.0
/main_fitness,0.10000000149011612,60.0
/main_fitness,0.10000000149011612,62.0
/main_fitness,0.10000000149011612,64.0
/main_fitness,0.10000000149011612,66.0
/main_fitness,0.10000000149011612,68.0
/main_fitness,0.10000000149011612,70.0
/main_fitness,0.10000000149011612,72.0
/main_fitness,0.10000000149011612,74.0
/main_fitness,0.10000000149011612,76.0
/main_fitness,0.10000000149011612,78.0
/main_fitness,0.10000000149011612,80.0
/main_fitness,0.10000000149011612,82.0
/main_fitness,0.10000000149011612,84.0
/main_fitness,0.10000000149011612,86.0
/main_fitness,0.10000000149011612,88.0
/main_fitness,0.10000000149011612,90.0
/main_fitness,0.10000000149011612,92.0
/main_fitness,0.10000000149011612,94.0
/main_fitness,0.10000000149011612,96.0
/main_fitness,0.10000000149011612,98.0
/main_fitness,0.10000000149011612,100.0
/main_fitness,0.10000000149011612,102.0
/main_fitness,0.10000000149011612,104.0
/main_fitness,0.10000000149011612,106.0
/main_fitness,0.10000000149011612,108.0
/main_fitness,0.10000000149011612,110.0
/main_fitness,0.10000000149011612,112.0
/main_fitness,0.10000000149011612,114.0
/main_fitness,0.10000000149011612,116.0
/main_fitness,0.0,118.0
/main_fitness,0.10000000149011612,120.0
/main_fitness,0.10000000149011612,122.0
/main_fitness,0.10000000149011612,124.0
/main_fitness,0.10000000149011612,126.0
/main_fitness,0.10000000149011612,128.0
/main_fitness,0.10000000149011612,130.0
/main_fitness,0.10000000149011612,132.0
/main_fitness,0.10000000149011612,134.0
/main_fitness,0.10000000149011612,136.0
/main_fitness,0.0,138.0
/main_fitness,0.10000000149011612,140.0
/main_fitness,0.10000000149011612,142.0
/main_fitness,0.10000000149011612,144.0
/main_fitness,0.10000000149011612,146.0
/main_fitness,0.10000000149011612,148.0
/main_fitness,0.10000000149011612,150.0
/main_fitness,0.10000000149011612,152.0
/main_fitness,0.10000000149011612,154.0
/main_fitness,0.10000000149011612,156.0
/main_fitness,0.20000000298023224,158.0
/main_fitness,0.20000000298023224,160.0
/main_fitness,0.20000000298023224,162.0
/main_fitness,0.20000000298023224,164.0
/main_fitness,0.20000000298023224,166.0
/main_fitness,0.20000000298023224,168.0
/main_fitness,0.20000000298023224,170.0
/main_fitness,0.20000000298023224,172.0
/main_fitness,0.20000000298023224,174.0
/main_fitness,0.20000000298023224,176.0
/main_fitness,0.10000000149011612,178.0
/main_fitness,0.20000000298023224,180.0
/main_fitness,0.20000000298023224,182.0
/main_fitness,0.20000000298023224,184.0
/main_fitness,0.20000000298023224,186.0
/main_fitness,0.20000000298023224,188.0
/main_fitness,0.20000000298023224,190.0
/main_fitness,0.20000000298023224,192.0
/main_fitness,0.20000000298023224,194.0
/main_fitness,0.20000000298023224,196.0
/main_fitness,0.10000000149011612,198.0
/main_fitness,0.20000000298023224,200.0
/main_fitness,0.20000000298023224,202.0
/main_fitness,0.20000000298023224,204.0
/main_fitness,0.20000000298023224,206.0
/main_fitness,0.20000000298023224,208.0
/main_fitness,0.20000000298023224,210.0
/main_fitness,0.20000000298023224,212.0
/main_fitness,0.20000000298023224,214.0
/main_fitness,0.20000000298023224,216.0
/main_fitness,0.20000000298023224,218.0
/main_fitness,0.20000000298023224,220.0
/main_fitness,0.20000000298023224,222.0
/main_fitness,0.20000000298023224,224.0
/main_fitness,0.20000000298023224,226.0
/main_fitness,0.20000000298023224,228.0
/main_fitness,0.20000000298023224,230.0
/main_fitness,0.20000000298023224,232.0
/main_fitness,0.20000000298023224,234.0
/main_fitness,0.20000000298023224,236.0
/main_fitness,0.20000000298023224,238.0
/main_fitness,0.20000000298023224,240.0
/main_fitness,0.20000000298023224,242.0
/main_fitness,0.20000000298023224,244.0
/main_fitness,0.20000000298023224,246.0
/main_fitness,0.20000000298023224,248.0
/main_fitness,0.20000000298023224,250.0
/main_fitness,0.20000000298023224,252.0
/main_fitness,0.20000000298023224,254.0
/main_fitness,0.20000000298023224,256.0
/main_fitness,0.0,258.0
/main_fitness,0.20000000298023224,260.0
/main_fitness,0.20000000298023224,262.0
/main_fitness,0.20000000298023224,264.0
/main_fitness,0.20000000298023224,266.0
/main_fitness,0.20000000298023224,268.0
/main_fitness,0.20000000298023224,270.0
/main_fitness,0.20000000298023224,272.0
/main_fitness,0.20000000298023224,274.0
/main_fitness,0.20000000298023224,276.0
/main_fitness,0.4000000059604645,278.0
/main_fitness,0.4000000059604645,280.0
/main_fitness,0.4000000059604645,282.0
/main_fitness,0.4000000059604645,284.0
/main_fitness,0.4000000059604645,286.0
/main_fitness,0.4000000059604645,288.0
/main_fitness,0.4000000059604645,290.0
/main_fitness,0.4000000059604645,292.0
/main_fitness,0.4000000059604645,294.0
/main_fitness,0.4000000059604645,296.0
/main_fitness,0.0,298.0
/main_fitness,0.4000000059604645,300.0
/main_fitness,0.4000000059604645,302.0
/main_fitness,0.4000000059604645,304.0
/main_fitness,0.4000000059604645,306.0
/main_fitness,0.4000000059604645,308.0
/main_fitness,0.4000000059604645,310.0
/main_fitness,0.4000000059604645,312.0
/main_fitness,0.4000000059604645,314.0
/main_fitness,0.4000000059604645,316.0
/main_fitness,0.30000001192092896,318.0
/main_fitness,0.4000000059604645,320.0
/main_fitness,0.4000000059604645,322.0
/main_fitness,0.4000000059604645,324.0
/main_fitness,0.4000000059604645,326.0
/main_fitness,0.4000000059604645,328.0
/main_fitness,0.4000000059604645,330.0
/main_fitness,0.4000000059604645,332.0
/main_fitness,0.4000000059604645,334.0
/main_fitness,0.4000000059604645,336.0
/main_fitness,0.30000001192092896,338.0
/main_fitness,0.4000000059604645,340.0
/main_fitness,0.4000000059604645,342.0
/main_fitness,0.4000000059604645,344.0
/main_fitness,0.4000000059604645,346.0
/main_fitness,0.4000000059604645,348.0
/main_fitness,0.4000000059604645,350.0
/main_fitness,0.4000000059604645,352.0
/main_fitness,0.4000000059604645,354.0
/main_fitness,0.4000000059604645,356.0
/main_fitness,0.10000000149011612,358.0
/main_fitness,0.4000000059604645,360.0
/main_fitness,0.4000000059604645,362.0
/main_fitness,0.4000000059604645,364.0
/main_fitness,0.4000000059604645,366.0
/main_fitness,0.4000000059604645,368.0
/main_fitness,0.4000000059604645,370.0
/main_fitness,0.4000000059604645,372.0
/main_fitness,0.4000000059604645,374.0
/main_fitness,0.4000000059604645,376.0
/main_fitness,0.10000000149011612,378.0
/main_fitness,0.4000000059604645,380.0
/main_fitness,0.4000000059604645,382.0
/main_fitness,0.4000000059604645,384.0
/main_fitness,0.4000000059604645,386.0
/main_fitness,0.4000000059604645,388.0
/main_fitness,0.4000000059604645,390.0
/main_fitness,0.4000000059604645,392.0
/main_fitness,0.4000000059604645,394.0
/main_fitness,0.4000000059604645,396.0
/main_fitness,0.10000000149011612,398.0
/main_fitness,0.4000000059604645,400.0
/main_fitness,0.4000000059604645,402.0
/main_fitness,0.4000000059604645,404.0
/main_fitness,0.4000000059604645,406.0
/main_fitness,0.4000000059604645,408.0
/main_fitness,0.4000000059604645,410.0
/main_fitness,0.4000000059604645,412.0
/main_fitness,0.4000000059604645,414.0
/main_fitness,0.4000000059604645,416.0
/main_fitness,0.10000000149011612,418.0
/main_fitness,0.4000000059604645,420.0
/main_fitness,0.4000000059604645,422.0
/main_fitness,0.4000000059604645,424.0
/main_fitness,0.4000000059604645,426.0
/main_fitness,0.4000000059604645,428.0
/main_fitness,0.4000000059604645,430.0
/main_fitness,0.4000000059604645,432.0
/main_fitness,0.4000000059604645,434.0
/main_fitness,0.4000000059604645,436.0
/main_fitness,0.20000000298023224,438.0
/main_fitness,0.4000000059604645,440.0
/main_fitness,0.4000000059604645,442.0
/main_fitness,0.4000000059604645,444.0
/main_fitness,0.4000000059604645,446.0
/main_fitness,0.4000000059604645,448.0
/main_fitness,0.4000000059604645,450.0
/main_fitness,0.4000000059604645,452.0
/main_fitness,0.4000000059604645,454.0
/main_fitness,0.4000000059604645,456.0
/main_fitness,0.10000000149011612,458.0
/main_fitness,0.4000000059604645,460.0
/main_fitness,0.4000000059604645,462.0
/main_fitness,0.4000000059604645,464.0
/main_fitness,0.4000000059604645,466.0
/main_fitness,0.4000000059604645,468.0
/main_fitness,0.4000000059604645,470.0
/main_fitness,0.4000000059604645,472.0
/main_fitness,0.4000000059604645,474.0
/main_fitness,0.4000000059604645,476.0
/main_fitness,0.20000000298023224,478.0
/main_fitness,0.4000000059604645,480.0
/main_fitness,0.4000000059604645,482.0
/main_fitness,0.4000000059604645,484.0
/main_fitness,0.4000000059604645,486.0
/main_fitness,0.4000000059604645,488.0
